class_a_code,class_a_name,class_b_code,class_b_name,class_a_samples,class_b_samples,class_a_group_size,class_b_group_size,n_observations_total,gamma,T_observed,p_value,alpha,B,seed,reject_h0
Fo,Floresta,Gl,Graminea,Fo_B|Fo_G|Fo_R|Fo_U|Fo_W,Gl_B|Gl_G|Gl_R|Gl_U|Gl_W,15268,15607,30875,1.0,83608233.60396953,0.5065,0.05,2000,42,False
Fo,Floresta,Sv,Savana,Fo_B|Fo_G|Fo_R|Fo_U|Fo_W,Sv_B|Sv_G|Sv_R|Sv_U|Sv_W,15268,16056,31324,1.0,3643909.5561919683,0.532,0.05,2000,42,False
Gl,Graminea,Sv,Savana,Gl_B|Gl_G|Gl_R|Gl_U|Gl_W,Sv_B|Sv_G|Sv_R|Sv_U|Sv_W,15607,16056,31663,1.0,67103624.65958488,0.494,0.05,2000,42,False
