orbit_key,track,frame,mode,product_name,start_datetime,end_datetime,repeat_cycle,orbit_state,feature_index,polygon_name,kml_url,output_kml
SCS_T043_F165,T043,F165,SCS,BIO_S3_SCS__1S_20260329T214617_20260329T214638_T_G01_M02_C02_T043_F165_01_DP2SW2,2026-03-29T21:46:17.647Z,2026-03-29T21:46:38.041Z,2,DESCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/29/BIO_S3_SCS__1S_20260329T214617_20260329T214638_T_G01_M02_C02_T043_F165_01_DP2SW2/BIO_S3_SCS__1S_20260329T214617_20260329T214638_T_G01_M02_C02_T043_F165_01_DP2SW2/preview/bio_s3_scs__1s_20260329t214617_20260329t214638_t_g01_m02_c02_t043_f165_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T043_F165.kml
SCS_T043_F166,T043,F166,SCS,BIO_S3_SCS__1S_20260329T214636_20260329T214657_T_G01_M02_C02_T043_F166_01_DP2TQ2,2026-03-29T21:46:36.655Z,2026-03-29T21:46:57.049Z,2,DESCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/29/BIO_S3_SCS__1S_20260329T214636_20260329T214657_T_G01_M02_C02_T043_F166_01_DP2TQ2/BIO_S3_SCS__1S_20260329T214636_20260329T214657_T_G01_M02_C02_T043_F166_01_DP2TQ2/preview/bio_s3_scs__1s_20260329t214636_20260329t214657_t_g01_m02_c02_t043_f166_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T043_F166.kml
SCS_T043_F167,T043,F167,SCS,BIO_S3_SCS__1S_20260329T214655_20260329T214716_T_G01_M02_C02_T043_F167_01_DP2TRK,2026-03-29T21:46:55.665Z,2026-03-29T21:47:16.059Z,2,DESCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/29/BIO_S3_SCS__1S_20260329T214655_20260329T214716_T_G01_M02_C02_T043_F167_01_DP2TRK/BIO_S3_SCS__1S_20260329T214655_20260329T214716_T_G01_M02_C02_T043_F167_01_DP2TRK/preview/bio_s3_scs__1s_20260329t214655_20260329t214716_t_g01_m02_c02_t043_f167_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T043_F167.kml
SCS_T043_F168,T043,F168,SCS,BIO_S3_SCS__1S_20260329T214714_20260329T214735_T_G01_M02_C02_T043_F168_01_DP2TWT,2026-03-29T21:47:14.674Z,2026-03-29T21:47:35.070Z,2,DESCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/29/BIO_S3_SCS__1S_20260329T214714_20260329T214735_T_G01_M02_C02_T043_F168_01_DP2TWT/BIO_S3_SCS__1S_20260329T214714_20260329T214735_T_G01_M02_C02_T043_F168_01_DP2TWT/preview/bio_s3_scs__1s_20260329t214714_20260329t214735_t_g01_m02_c02_t043_f168_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T043_F168.kml
SCS_T043_F169,T043,F169,SCS,BIO_S3_SCS__1S_20260329T214733_20260329T214754_T_G01_M02_C02_T043_F169_01_DP2TUO,2026-03-29T21:47:33.685Z,2026-03-29T21:47:54.083Z,2,DESCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/29/BIO_S3_SCS__1S_20260329T214733_20260329T214754_T_G01_M02_C02_T043_F169_01_DP2TUO/BIO_S3_SCS__1S_20260329T214733_20260329T214754_T_G01_M02_C02_T043_F169_01_DP2TUO/preview/bio_s3_scs__1s_20260329t214733_20260329t214754_t_g01_m02_c02_t043_f169_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T043_F169.kml
SCS_T043_F170,T043,F170,SCS,BIO_S3_SCS__1S_20260329T214752_20260329T214813_T_G01_M02_C02_T043_F170_01_DP2TS4,2026-03-29T21:47:52.698Z,2026-03-29T21:48:13.096Z,2,DESCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/29/BIO_S3_SCS__1S_20260329T214752_20260329T214813_T_G01_M02_C02_T043_F170_01_DP2TS4/BIO_S3_SCS__1S_20260329T214752_20260329T214813_T_G01_M02_C02_T043_F170_01_DP2TS4/preview/bio_s3_scs__1s_20260329t214752_20260329t214813_t_g01_m02_c02_t043_f170_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T043_F170.kml
SCS_T043_F171,T043,F171,SCS,BIO_S3_SCS__1S_20260329T214811_20260329T214832_T_G01_M02_C02_T043_F171_01_DP2TMX,2026-03-29T21:48:11.709Z,2026-03-29T21:48:32.107Z,2,DESCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/29/BIO_S3_SCS__1S_20260329T214811_20260329T214832_T_G01_M02_C02_T043_F171_01_DP2TMX/BIO_S3_SCS__1S_20260329T214811_20260329T214832_T_G01_M02_C02_T043_F171_01_DP2TMX/preview/bio_s3_scs__1s_20260329t214811_20260329t214832_t_g01_m02_c02_t043_f171_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T043_F171.kml
SCS_T043_F172,T043,F172,SCS,BIO_S3_SCS__1S_20260329T214830_20260329T214851_T_G01_M02_C02_T043_F172_01_DP2TF7,2026-03-29T21:48:30.723Z,2026-03-29T21:48:51.124Z,2,DESCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/29/BIO_S3_SCS__1S_20260329T214830_20260329T214851_T_G01_M02_C02_T043_F172_01_DP2TF7/BIO_S3_SCS__1S_20260329T214830_20260329T214851_T_G01_M02_C02_T043_F172_01_DP2TF7/preview/bio_s3_scs__1s_20260329t214830_20260329t214851_t_g01_m02_c02_t043_f172_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T043_F172.kml
SCS_T043_F173,T043,F173,SCS,BIO_S3_SCS__1S_20260329T214849_20260329T214910_T_G01_M02_C02_T043_F173_01_DP2T6G,2026-03-29T21:48:49.738Z,2026-03-29T21:49:10.138Z,2,DESCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/29/BIO_S3_SCS__1S_20260329T214849_20260329T214910_T_G01_M02_C02_T043_F173_01_DP2T6G/BIO_S3_SCS__1S_20260329T214849_20260329T214910_T_G01_M02_C02_T043_F173_01_DP2T6G/preview/bio_s3_scs__1s_20260329t214849_20260329t214910_t_g01_m02_c02_t043_f173_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T043_F173.kml
SCS_T043_F174,T043,F174,SCS,BIO_S3_SCS__1S_20260329T214908_20260329T214929_T_G01_M02_C02_T043_F174_01_DP2TA8,2026-03-29T21:49:08.752Z,2026-03-29T21:49:29.153Z,2,DESCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/29/BIO_S3_SCS__1S_20260329T214908_20260329T214929_T_G01_M02_C02_T043_F174_01_DP2TA8/BIO_S3_SCS__1S_20260329T214908_20260329T214929_T_G01_M02_C02_T043_F174_01_DP2TA8/preview/bio_s3_scs__1s_20260329t214908_20260329t214929_t_g01_m02_c02_t043_f174_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T043_F174.kml
SCS_T043_F175,T043,F175,SCS,BIO_S3_SCS__1S_20260329T214927_20260329T214948_T_G01_M02_C02_T043_F175_01_DP2TDC,2026-03-29T21:49:27.768Z,2026-03-29T21:49:48.170Z,2,DESCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/29/BIO_S3_SCS__1S_20260329T214927_20260329T214948_T_G01_M02_C02_T043_F175_01_DP2TDC/BIO_S3_SCS__1S_20260329T214927_20260329T214948_T_G01_M02_C02_T043_F175_01_DP2TDC/preview/bio_s3_scs__1s_20260329t214927_20260329t214948_t_g01_m02_c02_t043_f175_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T043_F175.kml
SCS_T043_F176,T043,F176,SCS,BIO_S3_SCS__1S_20260329T214946_20260329T215007_T_G01_M02_C02_T043_F176_01_DP2TUX,2026-03-29T21:49:46.785Z,2026-03-29T21:50:07.189Z,2,DESCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/29/BIO_S3_SCS__1S_20260329T214946_20260329T215007_T_G01_M02_C02_T043_F176_01_DP2TUX/BIO_S3_SCS__1S_20260329T214946_20260329T215007_T_G01_M02_C02_T043_F176_01_DP2TUX/preview/bio_s3_scs__1s_20260329t214946_20260329t215007_t_g01_m02_c02_t043_f176_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T043_F176.kml
