bootstrap_id,T_bootstrap
1,107614.96667770114
2,134367.56551623173
3,123646.50007311571
4,106776.7041517061
5,96698.588401830071
6,124609.04892657571
7,111486.32665281369
8,111261.89254617417
9,104597.83334057752
10,108992.384389778
11,129084.86045184026
12,129866.9618345105
13,103902.1295001375
14,111393.83443050401
15,119573.86887861406
16,120644.39015993661
17,124541.97688840076
18,123611.72629237095
19,96648.236236618599
20,118758.33963992332
21,118223.89098145993
22,113310.14427254473
23,113504.58079246125
24,129363.32560363473
25,108552.71515597124
26,124765.03197633391
27,122030.36202591035
28,113776.88339769249
29,111092.9983613778
30,119074.48632971814
31,116249.07697418542
32,110284.70587930056
33,118021.00188108704
34,120075.73837506138
35,110101.9110730487
36,104366.18718410913
37,103821.43856145808
38,114662.41448182431
39,101699.01279944465
40,111220.85545845816
41,101852.28061060626
42,119731.39505851298
43,111706.22131066998
44,138400.14451265236
45,119954.68863470801
46,104259.73479561598
47,124103.7391291972
48,107647.79372493867
49,118342.12909543245
50,106203.70457062029
51,122252.09358712698
52,110554.60559837463
53,106438.61677263024
54,121590.72101644678
55,112762.17867293283
56,112877.62409583606
57,111267.90182337583
58,112584.18603241759
59,122490.02805839501
60,118468.25227507438
61,126786.62902454326
62,134868.14998626243
63,115655.97437262539
64,109344.45236935464
65,114153.20993084233
66,131228.84074546557
67,110678.3608843238
68,110875.58769724228
69,107000.20744164301
70,119423.75558940091
71,112507.91157805524
72,98593.552166886264
73,110921.67421152569
74,118405.41806041407
75,108088.66780664111
76,107777.58159614116
77,106131.41776534347
78,117553.8250109776
79,98683.15670766258
80,105312.23641238712
81,121752.20590540238
82,124365.89895835936
83,119835.07204350436
84,120434.73847239149
85,111062.52650966817
86,117022.29733338076
87,119226.20918029896
88,101642.12872084972
89,124759.17291216571
90,109670.23831779258
91,112511.3323152454
92,114073.77042571717
93,113177.76891368549
94,119369.08985192348
95,114800.53539228822
96,108775.72079856826
97,129296.75950275485
98,123905.45466367471
99,107556.78511222787
100,110248.25289457904
101,127047.79591374724
102,126518.68620141321
103,109800.10362848673
104,112152.35378131922
105,108689.80316077622
106,123601.36498751205
107,111127.82278467683
108,98248.946085015908
109,125090.71093287584
110,109628.34577909767
111,106566.59020755696
112,116452.03236544947
113,106009.24496427586
114,113426.39721827742
115,115866.21202441683
116,108172.71600988052
117,127600.14379693323
118,120219.40838843815
119,110132.2413605016
120,107581.5386754059
121,130076.74686568008
122,109050.08658904234
123,126396.26888261232
124,115089.40230306277
125,114934.83972159408
126,114492.09349542638
127,116285.86228683489
128,124498.33639018382
129,110217.83037162948
130,108712.03437591228
131,101645.40354103294
132,132564.27236729642
133,108014.85911437025
134,114517.44946628802
135,114802.35270948589
136,111798.35236354754
137,105755.58802664392
138,117432.44355412974
139,120022.15591772024
140,141092.59720606505
141,114250.88527129793
142,123611.60272798588
143,109785.72648590604
144,117109.91004498188
145,131276.80158509949
146,101473.9974651622
147,110004.56441760203
148,107518.45683162782
149,110660.21857518083
150,107958.59902269229
151,108508.59118778315
152,98593.351220934564
153,116189.90995146068
154,126421.31591930063
155,132215.87116896169
156,117500.55498098054
157,111636.91432316146
158,126152.18679453272
159,119533.77068526593
160,117155.37255554285
161,109846.86444142961
162,115372.56147664457
163,114502.865337273
164,119772.75732500562
165,117430.6290526931
166,117304.81708354539
167,107224.76370248424
168,110841.09860789641
169,110800.8596858174
170,103440.14733306551
171,115104.68770249731
172,129475.73885814805
173,110449.47187510424
174,123833.84162663177
175,114328.5195763494
176,115645.12267429293
177,113872.21053185994
178,113164.63285260156
179,99590.840198938095
180,113195.6391847234
181,111083.26424790155
182,119279.02084220359
183,118869.0374094664
184,103295.85566492077
185,121405.61780548831
186,106900.4938699824
187,130835.89897717611
188,129559.43033311481
189,109808.02496631361
190,116094.76038144395
191,106958.51182013511
192,117518.82552001163
193,120384.11497102893
194,116501.04676544887
195,116432.24905018478
196,118545.33701843668
197,117080.85823812884
198,117747.15376659871
199,120960.14480976238
200,104174.52466728701
201,120811.24657756239
202,108284.36616939529
203,112816.71802133431
204,116224.59819492431
205,110153.12538260268
206,130744.7426743416
207,115511.23957073911
208,120534.66793970826
209,127489.9255705387
210,116472.16308374706
211,109747.56865097054
212,130560.25242312005
213,107835.25201090323
214,102275.52261466498
215,109530.96474408414
216,110516.40303421159
217,109605.28577624986
218,111476.53547048016
219,107487.16174753009
220,123038.02538372333
221,106602.97359707781
222,120343.32066970893
223,119880.43406607927
224,133713.60719781119
225,137729.40091583281
226,123115.80037393891
227,117304.78056401883
228,107645.77590993659
229,110292.25234856071
230,127764.30758667136
231,108954.18648092418
232,116640.95782273026
233,134779.61899336337
234,115456.1857823266
235,116023.85067983106
236,111335.20005283917
237,103959.14108399763
238,120673.24461459146
239,107844.75121768197
240,116741.05485225179
241,120828.0152625965
242,115932.16799189197
243,106964.95942470935
244,130021.66878664015
245,115705.17827680802
246,127698.4774248561
247,109313.27755980626
248,112583.32909062583
249,101242.59453749869
250,122216.42866604273
251,104156.46866174182
252,124796.39075044048
253,104079.171933516
254,128177.84404632643
255,117133.64783736959
256,124792.96663720977
257,109914.39176090813
258,116841.43376322395
259,125111.70848867622
260,119805.93275428284
261,120005.93970010012
262,106133.47460893021
263,124111.86395050655
264,126789.16235387373
265,118254.02023948396
266,109706.49020330318
267,111278.04126494446
268,118707.34341271833
269,127846.72097641781
270,106048.24839669651
271,113446.5236775621
272,100528.08764747663
273,114098.88201122521
274,102871.97558637582
275,109739.50974427325
276,111989.71826439974
277,125082.14467983518
278,126810.66479120796
279,120468.21530121616
280,112410.52245599069
281,105005.81024717679
282,105015.09430654882
283,104865.54745863951
284,109364.17457464371
285,121634.4042105863
286,111641.95149261085
287,109985.24721977643
288,107021.78438025041
289,111807.02341747509
290,121008.11542807368
291,108323.44997687456
292,107339.28429261458
293,114470.68252708948
294,100361.92763540579
295,122013.12565705858
296,114704.91966417697
297,117504.34215988051
298,121590.07548653877
299,112728.13862426279
300,114442.15139170868
301,110432.86689780914
302,121803.69566169106
303,115547.68972266243
304,104859.01045555857
305,117371.26609453361
306,102359.54033116178
307,117580.71690404898
308,119753.2561752391
309,125630.38197315339
310,101359.12610676077
311,103128.14408185928
312,115338.50371993895
313,115108.37293099581
