bootstrap_id,T_bootstrap
1,242886.06013062401
2,255294.13657101057
3,234884.95169354539
4,243756.88933102379
5,252318.86764870497
6,223522.06065898476
7,240319.26459349249
8,258448.94036467557
9,232072.37432552801
10,232467.69871819598
11,252927.0304267407
12,240663.20104704541
13,231004.67258654386
14,236105.89835052806
15,238707.84602670078
16,217345.25536705652
17,231704.26191164838
18,233224.46843513762
19,215604.37820169088
20,267653.58368390496
21,234933.9974981478
22,213414.88723848882
23,234676.75743429895
24,213664.75093380918
25,228134.05066180014
26,236031.3425625797
27,237512.98106635932
28,234404.77563988848
29,257928.34444842258
30,225022.41897447253
31,216300.42472717928
32,252605.06284485146
33,238331.6832682956
34,217513.85977231938
35,230964.28466426927
36,249757.00704012444
37,215386.09938195141
38,243403.52360198039
39,223865.89623413392
40,202730.82355359622
41,212029.32858238957
42,248976.30275614094
43,209577.36459105377
44,233672.45544446495
45,230115.89881811469
46,229112.58152634383
47,218716.23273753258
48,227792.12024507244
49,199374.00425395597
50,210491.35454058941
51,240516.95884301365
52,248038.94200840031
53,231506.52954133897
54,231684.90365401085
55,232228.68868735593
56,244660.63119021367
57,245944.12739521946
58,223980.84861273656
59,218451.31982704485
60,202680.13695481088
61,214778.71140134463
62,227332.59964492338
63,236574.7529771484
64,257182.82634605461
65,230024.71409053187
66,223223.20060894318
67,231939.36657287169
68,225521.40999980402
69,225164.21478198684
70,237055.03203918785
71,226985.76273953138
72,234243.69103660356
73,220854.20761612689
74,212562.11684306076
75,240229.38731894671
76,235568.83740058419
77,222570.0308338521
78,215747.94465248511
79,210975.19504001897
80,223260.7782370222
81,247675.01191379034
82,227665.10188958253
83,235785.43208238838
84,232020.69268721846
85,225048.98207027966
86,213505.44624898076
87,230758.7157066346
88,219303.88067318173
89,249081.5836744215
90,238220.71044824913
91,249012.71439310344
92,240659.32087807453
93,224399.19439500794
94,214749.76419500922
95,229337.26110512501
96,229342.07544492956
97,214821.1142967192
98,243237.83135251002
99,217841.71591817433
100,235143.45711617643
101,220163.94868025728
102,231963.32258033822
103,224574.67971567318
104,231253.84671899994
105,241131.96087668071
106,237581.7890204826
107,229306.01291343477
108,213545.87166033193
109,209267.06823841226
110,253697.18149751128
111,239242.15415321922
112,222335.47700541257
113,228381.37700777585
114,215133.91216437463
115,234438.91229820158
116,235479.01573174924
117,229731.71080979265
118,240083.28889416138
119,230548.86599979067
120,227988.0740027967
121,237190.363972958
122,229867.39404405639
123,235500.26008263472
124,245018.04665262927
125,224442.08844951415
126,234383.93640266536
127,238647.0009554071
128,222147.30291533805
129,228334.91681959954
130,235231.20393466952
131,237348.5496333864
132,228490.39376665954
133,216089.91045483283
134,226511.54319596017
135,232237.17705358184
136,216626.4756250073
137,256353.50543037776
138,260141.29661227192
139,230746.54586158966
140,214807.16814499279
141,240316.19346881926
142,218453.18769850448
143,221192.32778506956
144,214823.60489088335
145,235815.32515926653
146,208547.18103033371
147,239392.19184475942
148,244597.23998445773
149,241684.13346313158
150,221875.55757816788
151,235843.32692816772
152,238609.20163969931
153,206340.88925137388
154,233782.02576622902
155,232028.80604966797
156,215921.19101066072
157,231741.32798520298
158,230286.19907331295
159,231460.34363793198
160,243234.84793695569
161,208802.28144251756
162,237751.5598466027
163,217265.96795416845
