bootstrap_id,T_bootstrap
1,366164.57069545676
2,379781.97672553494
3,442658.2667855575
4,362148.86088757834
5,390909.28159599757
6,400261.35242209205
7,380289.37610398908
8,362602.81034724182
9,436616.48763562937
10,398421.38830835145
11,358486.89547975204
12,354067.58521883842
13,364562.92219422275
14,354170.24162676308
15,368560.42660610919
16,388144.89769315207
17,354662.05707919376
18,388203.5327669949
19,428675.46450541803
20,359888.30355865863
21,361639.16054847027
22,381142.46365079167
23,386428.32950350514
24,344859.89520297351
25,412019.5699286387
26,435337.05477813643
27,358441.52588827483
28,373108.20487969887
29,416397.60120485257
30,390416.29232129309
31,365074.03752045083
32,403905.7577282319
33,334525.66886376799
34,387083.87736578676
35,423980.6717352703
36,380148.56787950906
37,360625.5495090945
38,333643.18328263192
39,342455.71932085074
40,425429.85030671605
41,346588.71130919526
42,365040.42539631139
43,344681.58744425728
44,412616.08296395902
45,406494.91699509969
46,401731.45570652769
47,396112.25482345937
48,342591.23900199059
49,392482.22209356556
50,402841.44743928325
51,427863.90911291522
52,371419.90218113217
53,367041.18521657737
54,365139.31486422138
55,347149.92349740904
56,366508.73958425433
57,403598.89416006865
58,336626.57000376796
59,423176.52891245205
60,415417.39793358266
61,388443.86059417657
62,401783.84910938173
63,376963.8722559046
64,424660.45162611979
65,396543.26633024873
66,382836.08415098186
67,378503.61639515479
68,350682.4510583051
69,331651.90119882667
70,363552.59425478306
71,364516.46630741691
72,385835.68375616363
73,453640.62959585269
74,370515.37713468639
75,385218.24566643155
76,338329.70852246264
77,381595.49237697758
78,373644.96922148636
79,436959.80411388649
80,390661.69016461523
81,399323.69051466341
82,392426.9082403619
83,412671.68897975178
84,385378.36999489402
85,378341.38626934431
86,388311.32020787377
87,339579.8335918017
88,389226.46575417585
89,422211.82656991069
90,376639.51739039924
91,456002.59230060247
92,383941.91949782701
93,323705.3944961318
94,360610.46149580064
95,353848.74926205439
96,364766.03340431594
97,412604.51783304667
98,370779.92224395426
99,416417.44755059038
100,363236.69683512469
101,382714.42155848502
102,401286.55469180376
103,347973.65114036488
104,418342.78946558217
105,370966.40724871436
106,368853.08786666626
107,378688.08920288761
108,344793.53503304487
109,382807.91779632092
110,397514.36717833934
111,392631.01381304028
112,407446.59654072387
113,324225.42778314865
114,344847.92867119069
115,400227.87962100806
116,357751.69998782198
117,386374.43264652614
118,396303.6099319284
119,388650.4607396276
120,350925.97144054616
121,390944.39936375222
122,373262.17687735189
123,447198.51909838588
124,355902.22067132528
125,362989.47319389862
126,376917.39589795005
127,398026.02438192326
128,375280.53205963067
129,366752.20562098979
130,350133.0830578272
131,386031.19387875177
132,373424.16966958594
133,378215.00706971431
134,384648.69700438128
135,412476.92579698062
136,355052.76384093519
137,376668.40362048376
138,363603.57966923609
139,367989.46595896606
