orbit_key,dataset,collection,product_type,mode,orbit_state,track,track_number,frame,frame_number,scene_count,unique_footprints,repeat_cycles,absolute_orbits,first_start_time,last_stop_time,example_scene
SCS_T006_F299,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F299,299,85,42,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594,3638,3682,3770,3814,3858,3902,3946,3990,4034,4210,4254,4298,4342,4386,4430,4474,4518,4562,4606,4650,4694,4738,4782,4826,4870,4914",2025-11-21T09:50:49.777Z,2026-03-30T09:56:25.560Z,BIO_S1_SCS__1M_20251130T095055_20251130T095116_T_G01_M01_C04_T006_F299_01_DKPHQS
SCS_T006_F300,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F300,300,85,42,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594,3638,3682,3770,3814,3858,3902,3946,3990,4034,4210,4254,4298,4342,4386,4430,4474,4518,4562,4606,4650,4694,4738,4782,4826,4870,4914",2025-11-21T09:51:08.788Z,2026-03-30T09:56:44.570Z,BIO_S1_SCS__1S_20251130T095114_20251130T095135_T_G01_M01_C04_T006_F300_01_DKPHQM
SCS_T006_F301,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F301,301,82,40,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594,3638,3682,3770,3814,3858,3902,3946,3990,4034,4210,4254,4298,4342,4386,4430,4474,4518,4562,4606,4650,4694,4738,4782",2025-11-21T09:51:27.799Z,2026-03-21T09:56:57.570Z,BIO_S1_SCS__1M_20251124T095129_20251124T095150_T_G01_M01_C02_T006_F301_01_DK5TLO
SCS_T006_F302,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F302,302,79,39,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594,3638,3682,3770,3814,3858,3902,3946,3990,4034,4210,4254,4298,4342,4386,4430,4474,4518,4562,4606,4650,4694,4738,4782",2025-11-21T09:51:46.809Z,2026-03-21T09:57:16.581Z,BIO_S2_SCS__1S_20251212T095159_20251212T095220_T_G01_M01_C01_T006_F302_01_DJJHNK
SCS_T006_F303,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F303,303,66,32,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594,3638,3682,3770,3814,3858,3902,3946,3990,4034,4210,4254,4298,4342,4386,4430,4474",2025-11-21T09:52:05.816Z,2026-02-28T09:57:21.298Z,BIO_S1_SCS__1M_20251130T095211_20251130T095232_T_G01_M01_C04_T006_F303_01_DKPHQH
SCS_T006_F304,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F304,304,66,32,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594,3638,3682,3770,3814,3858,3902,3946,3990,4034,4210,4254,4298,4342,4386,4430,4474",2025-11-21T09:52:24.823Z,2026-02-28T09:57:40.304Z,BIO_S1_SCS__1M_20251124T095226_20251124T095247_T_G01_M01_C02_T006_F304_01_DK5TVE
SCS_T006_F305,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F305,305,36,17,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3638,3682,3770,3814,3858,3902,3946,3990,4034",2025-11-21T09:52:43.830Z,2026-01-29T09:53:45.283Z,BIO_S1_SCS__1M_20251127T095247_20251127T095308_T_G01_M01_C03_T006_F305_01_DKIKPO
SCS_T006_F306,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F306,306,22,10,"1,2,3,4","3022,3066,3110,3154",2025-11-21T09:53:02.833Z,2025-11-30T09:53:29.573Z,BIO_S1_SCS__1S_20251130T095308_20251130T095329_T_G01_M01_C04_T006_F306_01_DKPHYP
SCS_T006_F307,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F307,307,34,16,"1,2,3,4,5,6,7","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594",2025-11-21T09:53:21.839Z,2025-12-30T09:54:05.689Z,BIO_S2_SCS__1S_20251218T095338_20251218T095358_T_G01_M01_C03_T006_F307_01_DJUL3Q
SCS_T006_F308,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F308,308,20,9,"1,2,3,4","3022,3066,3110,3154",2025-11-21T09:53:40.843Z,2025-11-30T09:54:07.579Z,BIO_S1_SCS__1M_20251127T095344_20251127T095405_T_G01_M01_C03_T006_F308_01_DKILEG
SCS_T006_F309,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F309,309,20,9,"1,2,3,4","3022,3066,3110,3154",2025-11-21T09:53:59.845Z,2025-11-30T09:54:26.577Z,BIO_S1_SCS__1M_20251130T095405_20251130T095426_T_G01_M01_C04_T006_F309_01_DKPHYQ
SCS_T013_F172,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,DESCENDING,T013,13,F172,172,6,3,"5,6,7","4393,4437,4481",2026-02-22T20:42:40.148Z,2026-02-28T20:43:04.161Z,BIO_S1_SCS__1S_20260225T204241_20260225T204302_T_G01_M02_C06_T013_F172_01_DNFH2H
SCS_T013_F173,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,DESCENDING,T013,13,F173,173,14,7,"1,2,3,4,5,6,7","4217,4261,4305,4349,4393,4437,4481",2026-02-10T20:42:51.693Z,2026-02-28T20:43:23.176Z,BIO_S1_SCS__1M_20260210T204251_20260210T204312_T_G01_M02_C01_T013_F173_01_DMNMLW
SCS_T013_F174,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,DESCENDING,T013,13,F174,174,27,14,"1,2,3,4,5,6,7","4217,4261,4305,4349,4393,4437,4481,4525,4569,4613,4657,4701,4745,4789",2026-02-10T20:43:10.709Z,2026-03-21T20:43:53.636Z,BIO_S2_SCS__1M_20260318T204333_20260318T204351_T_G01_M02_C06_T013_F174_01_DOIDOW
SCS_T014_F157,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,DESCENDING,T014,14,F157,157,48,23,"1,10,2,3,4,5,6,7,8,9","3030,3074,3118,3162,3338,3382,3426,3470,3514,3558,3602,3646,3690,3734,3778,3822,3866,3910,3954,3998,4042",2025-11-21T22:11:14.501Z,2026-01-29T22:12:15.840Z,BIO_S1_SCS__1S_20251130T221120_20251130T221141_T_G01_M01_C04_T014_F157_01_DKPNPO
