poly_id,class,domain,sample,scene_time,product_id
Gl_07_R_58,Gl,07,R,2026-03-24T09:01:00+00:00,S1A_IW_SLC__1SDV_20260324T090100_20260324T090127_063767_08048E_AA9C-SLC
Sv_07_W_50,Sv,07,W,2026-03-24T09:01:00+00:00,S1A_IW_SLC__1SDV_20260324T090100_20260324T090127_063767_08048E_AA9C-SLC
Sv_09_U_81,Sv,09,U,2026-03-24T09:01:00+00:00,S1A_IW_SLC__1SDV_20260324T090100_20260324T090127_063767_08048E_AA9C-SLC
Sv_09_W_80,Sv,09,W,2026-03-24T09:01:00+00:00,S1A_IW_SLC__1SDV_20260324T090100_20260324T090127_063767_08048E_AA9C-SLC
Fo_01_W_30,Fo,01,W,2026-03-24T09:01:25+00:00,S1A_IW_SLC__1SDV_20260324T090125_20260324T090152_063767_08048E_B48A-SLC
Gl_07_B_57,Gl,07,B,2026-03-24T09:01:25+00:00,S1A_IW_SLC__1SDV_20260324T090125_20260324T090152_063767_08048E_B48A-SLC
Sv_01_U_36,Sv,01,U,2026-03-24T09:01:25+00:00,S1A_IW_SLC__1SDV_20260324T090125_20260324T090152_063767_08048E_B48A-SLC
Sv_01_W_35,Sv,01,W,2026-03-24T09:01:25+00:00,S1A_IW_SLC__1SDV_20260324T090125_20260324T090152_063767_08048E_B48A-SLC
Sv_04_R_128,Sv,04,R,2026-03-24T09:01:25+00:00,S1A_IW_SLC__1SDV_20260324T090125_20260324T090152_063767_08048E_B48A-SLC
Gl_04_R_133,Gl,04,R,2026-03-24T09:01:50+00:00,S1A_IW_SLC__1SDV_20260324T090150_20260324T090218_063767_08048E_B516-SLC
Gl_04_B_132,Gl,04,B,2026-03-24T09:02:15+00:00,S1A_IW_SLC__1SDV_20260324T090215_20260324T090243_063767_08048E_428B-SLC
