poly_id,class,domain,sample,scene_time,scene_name
Gl_05_R_13,Gl,05,R,2026-07-14T21:04:58+00:00,NISAR_L2_PR_GSLC_025_096_D_096_2005_DHDH_A_20260714T210458_20260714T210532_P05023_F_F_J_001
Fo_05_B_2,Fo,05,B,2026-07-14T21:05:31+00:00,NISAR_L2_PR_GSLC_025_096_D_097_2005_DHDH_M_20260714T210531_20260714T210606_P05023_F_F_J_001
Fo_05_G_4,Fo,05,G,2026-07-14T21:05:31+00:00,NISAR_L2_PR_GSLC_025_096_D_097_2005_DHDH_M_20260714T210531_20260714T210606_P05023_F_F_J_001
Fo_05_U_1,Fo,05,U,2026-07-14T21:05:31+00:00,NISAR_L2_PR_GSLC_025_096_D_097_2005_DHDH_M_20260714T210531_20260714T210606_P05023_F_F_J_001
Fo_05_W_0,Fo,05,W,2026-07-14T21:05:31+00:00,NISAR_L2_PR_GSLC_025_096_D_097_2005_DHDH_M_20260714T210531_20260714T210606_P05023_F_F_J_001
Fo_11_R_138,Fo,11,R,2026-07-14T21:05:31+00:00,NISAR_L2_PR_GSLC_025_096_D_097_2005_DHDH_M_20260714T210531_20260714T210606_P05023_F_F_J_001
Gl_05_B_12,Gl,05,B,2026-07-14T21:05:31+00:00,NISAR_L2_PR_GSLC_025_096_D_097_2005_DHDH_M_20260714T210531_20260714T210606_P05023_F_F_J_001
Gl_05_G_14,Gl,05,G,2026-07-14T21:05:31+00:00,NISAR_L2_PR_GSLC_025_096_D_097_2005_DHDH_M_20260714T210531_20260714T210606_P05023_F_F_J_001
Gl_11_G_149,Gl,11,G,2026-07-14T21:05:31+00:00,NISAR_L2_PR_GSLC_025_096_D_097_2005_DHDH_M_20260714T210531_20260714T210606_P05023_F_F_J_001
Sv_05_B_7,Sv,05,B,2026-07-14T21:05:31+00:00,NISAR_L2_PR_GSLC_025_096_D_097_2005_DHDH_M_20260714T210531_20260714T210606_P05023_F_F_J_001
Sv_05_G_9,Sv,05,G,2026-07-14T21:05:31+00:00,NISAR_L2_PR_GSLC_025_096_D_097_2005_DHDH_M_20260714T210531_20260714T210606_P05023_F_F_J_001
Sv_05_R_8,Sv,05,R,2026-07-14T21:05:31+00:00,NISAR_L2_PR_GSLC_025_096_D_097_2005_DHDH_M_20260714T210531_20260714T210606_P05023_F_F_J_001
Sv_05_U_6,Sv,05,U,2026-07-14T21:05:31+00:00,NISAR_L2_PR_GSLC_025_096_D_097_2005_DHDH_M_20260714T210531_20260714T210606_P05023_F_F_J_001
Sv_05_W_5,Sv,05,W,2026-07-14T21:05:31+00:00,NISAR_L2_PR_GSLC_025_096_D_097_2005_DHDH_M_20260714T210531_20260714T210606_P05023_F_F_J_001
