query_name,feature_index,dataset,platform,product_id,processing_level,flight_direction,relative_orbit,absolute_orbit,frame_number,start_time,stop_time,scene_name
feature_0_part_1_split_1,0,SENTINEL-1,Sentinel-1C,S1C_IW_SLC__1SDV_20251103T083621_20251103T083648_004847_00993C_A53C-SLC,SLC,DESCENDING,126,4847,646,2025-11-03T08:36:21Z,2025-11-03T08:36:48Z,S1C_IW_SLC__1SDV_20251103T083621_20251103T083648_004847_00993C_A53C
feature_0_part_1_split_1,0,SENTINEL-1,Sentinel-1C,S1C_IW_SLC__1SDV_20251103T083646_20251103T083713_004847_00993C_3B3A-SLC,SLC,DESCENDING,126,4847,651,2025-11-03T08:36:46Z,2025-11-03T08:37:13Z,S1C_IW_SLC__1SDV_20251103T083646_20251103T083713_004847_00993C_3B3A
feature_0_part_1_split_1,0,SENTINEL-1,Sentinel-1C,S1C_IW_SLC__1SDV_20251103T083711_20251103T083738_004847_00993C_5084-SLC,SLC,DESCENDING,126,4847,656,2025-11-03T08:37:11Z,2025-11-03T08:37:38Z,S1C_IW_SLC__1SDV_20251103T083711_20251103T083738_004847_00993C_5084
feature_0_part_1_split_1,0,SENTINEL-1,Sentinel-1C,S1C_IW_SLC__1SDV_20251103T083735_20251103T083802_004847_00993C_30C9-SLC,SLC,DESCENDING,126,4847,661,2025-11-03T08:37:35Z,2025-11-03T08:38:02Z,S1C_IW_SLC__1SDV_20251103T083735_20251103T083802_004847_00993C_30C9
feature_0_part_1_split_1,0,SENTINEL-1,Sentinel-1C,S1C_IW_SLC__1SDV_20251103T083800_20251103T083828_004847_00993C_FF6A-SLC,SLC,DESCENDING,126,4847,666,2025-11-03T08:38:00Z,2025-11-03T08:38:28Z,S1C_IW_SLC__1SDV_20251103T083800_20251103T083828_004847_00993C_FF6A
feature_0_part_1_split_1,0,SENTINEL-1,Sentinel-1C,S1C_IW_SLC__1SDV_20251103T083826_20251103T083853_004847_00993C_47E1-SLC,SLC,DESCENDING,126,4847,671,2025-11-03T08:38:26Z,2025-11-03T08:38:53Z,S1C_IW_SLC__1SDV_20251103T083826_20251103T083853_004847_00993C_47E1
feature_0_part_1_split_1,0,SENTINEL-1,Sentinel-1C,S1C_IW_SLC__1SDV_20251103T083851_20251103T083918_004847_00993C_5939-SLC,SLC,DESCENDING,126,4847,676,2025-11-03T08:38:51Z,2025-11-03T08:39:18Z,S1C_IW_SLC__1SDV_20251103T083851_20251103T083918_004847_00993C_5939
feature_0_part_1_split_1,0,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20251103T092529_20251103T092557_061711_07B624_848B-SLC,SLC,DESCENDING,39,61711,631,2025-11-03T09:25:29Z,2025-11-03T09:25:57Z,S1A_IW_SLC__1SDV_20251103T092529_20251103T092557_061711_07B624_848B
feature_0_part_1_split_1,0,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20251103T092555_20251103T092622_061711_07B624_CDC4-SLC,SLC,DESCENDING,39,61711,636,2025-11-03T09:25:55Z,2025-11-03T09:26:22Z,S1A_IW_SLC__1SDV_20251103T092555_20251103T092622_061711_07B624_CDC4
feature_0_part_1_split_1,0,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20251103T092620_20251103T092647_061711_07B624_8ADE-SLC,SLC,DESCENDING,39,61711,641,2025-11-03T09:26:20Z,2025-11-03T09:26:47Z,S1A_IW_SLC__1SDV_20251103T092620_20251103T092647_061711_07B624_8ADE
