orbit_key,dataset,platform,processing_level,flight_direction,path_number,frame_count,frame_numbers,beam_mode,scene_count,unique_footprints,first_start_time,last_stop_time,example_scene
SENTINEL-1__Sentinel-1C__DESCENDING__PATH_24__IW,SENTINEL-1,Sentinel-1C,SLC,DESCENDING,24,4,"661,667,672,677",IW,48,48,2025-11-08T08:45:50Z,2026-03-20T08:47:31Z,S1C_IW_SLC__1SDV_20251120T084708_20251120T084734_005095_00A189_6E67
SENTINEL-1__Sentinel-1C__DESCENDING__PATH_39__IW,SENTINEL-1,Sentinel-1C,SLC,DESCENDING,39,6,"649,655,660,665,670,675",IW,72,72,2025-11-09T09:26:00Z,2026-03-21T09:28:32Z,S1C_IW_SLC__1SDV_20251121T092808_20251121T092836_005110_00A214_EE70
SENTINEL-1__Sentinel-1C__ASCENDING__PATH_46__S3,SENTINEL-1,Sentinel-1C,SLC,ASCENDING,46,1,1101,S3,11,11,2025-11-09T21:34:52Z,2026-03-21T21:35:15Z,S1C_S3_SLC__1SDH_20251109T213452_20251109T213519_004942_009C70_5EBB
SENTINEL-1__Sentinel-1C__DESCENDING__PATH_53__IW,SENTINEL-1,Sentinel-1C,SLC,DESCENDING,53,8,"641,647,652,657,662,667,672,677",IW,96,96,2025-11-10T08:27:43Z,2026-03-22T08:31:05Z,S1C_IW_SLC__1SDV_20251122T083041_20251122T083108_005124_00A28C_FBCA
SENTINEL-1__Sentinel-1C__ASCENDING__PATH_61__IW,SENTINEL-1,Sentinel-1C,SLC,ASCENDING,61,2,"1094,1099",IW,24,24,2025-11-10T22:15:24Z,2026-03-22T22:16:11Z,S1C_IW_SLC__1SDV_20251122T221548_20251122T221614_005132_00A2D4_2F83
SENTINEL-1__Sentinel-1C__DESCENDING__PATH_68__IW,SENTINEL-1,Sentinel-1C,SLC,DESCENDING,68,5,"653,659,663,668,673",IW,60,60,2025-11-11T09:09:50Z,2026-03-23T09:11:56Z,S1C_IW_SLC__1SDV_20251123T091132_20251123T091159_005139_00A30B_617E
SENTINEL-1__Sentinel-1C__DESCENDING__PATH_82__IW,SENTINEL-1,Sentinel-1C,SLC,DESCENDING,82,5,"652,658,663,668,673",IW,60,60,2025-11-12T08:12:11Z,2026-03-24T08:14:06Z,S1C_IW_SLC__1SDV_20251124T081354_20251124T081409_005153_00A38E_E573
SENTINEL-1__Sentinel-1C__ASCENDING__PATH_90__IW,SENTINEL-1,Sentinel-1C,SLC,ASCENDING,90,1,1173,IW,12,12,2025-11-12T22:05:30Z,2026-03-24T22:05:57Z,S1C_IW_SLC__1SDV_20251124T220530_20251124T220600_005161_00A3CD_EF5E
SENTINEL-1__Sentinel-1C__DESCENDING__PATH_97__IW,SENTINEL-1,Sentinel-1C,SLC,DESCENDING,97,4,"659,665,670,675",IW,52,52,2025-11-01T08:53:53Z,2026-03-25T08:55:34Z,S1C_IW_SLC__1SDV_20251125T085510_20251125T085537_005168_00A40A_F14D
SENTINEL-1__Sentinel-1C__DESCENDING__PATH_112__IW,SENTINEL-1,Sentinel-1C,SLC,DESCENDING,112,4,"643,649,654,659",IW,52,52,2025-11-02T09:33:42Z,2026-03-26T09:35:23Z,S1C_IW_SLC__1SDV_20251126T093459_20251126T093526_005183_00A48D_E402
SENTINEL-1__Sentinel-1C__ASCENDING__PATH_119__S6,SENTINEL-1,Sentinel-1C,SLC,ASCENDING,119,1,1100,S6,12,12,2025-11-02T21:42:58Z,2026-03-26T21:43:20Z,S1C_S6_SLC__1SDV_20251114T214257_20251114T214324_005015_009EDF_8867
SENTINEL-1__Sentinel-1C__DESCENDING__PATH_126__IW,SENTINEL-1,Sentinel-1C,SLC,DESCENDING,126,8,"640,646,651,656,661,666,671,676",IW,88,88,2025-11-03T08:35:52Z,2026-03-27T08:39:14Z,S1C_IW_SLC__1SDV_20251115T083850_20251115T083917_005022_009F14_A2CF
SENTINEL-1__Sentinel-1C__DESCENDING__PATH_141__IW,SENTINEL-1,Sentinel-1C,SLC,DESCENDING,141,4,"660,666,671,676",IW,52,52,2025-11-04T09:18:40Z,2026-03-28T09:20:22Z,S1C_IW_SLC__1SDV_20251128T091958_20251128T092024_005212_00A57D_BED6
SENTINEL-1__Sentinel-1C__DESCENDING__PATH_155__IW,SENTINEL-1,Sentinel-1C,SLC,DESCENDING,155,5,"651,656,661,666,671",IW,65,65,2025-11-05T08:20:18Z,2026-03-29T08:22:28Z,S1C_IW_SLC__1SDV_20251129T082200_20251129T082231_005226_00A5F9_9463
SENTINEL-1__Sentinel-1C__ASCENDING__PATH_163__IW,SENTINEL-1,Sentinel-1C,SLC,ASCENDING,163,3,"1096,1101,1172",IW,39,39,2025-11-05T22:07:20Z,2026-03-29T22:14:06Z,S1C_IW_SLC__1SDV_20251129T221338_20251129T221409_005234_00A640_5126
SENTINEL-1__Sentinel-1C__DESCENDING__PATH_170__IW,SENTINEL-1,Sentinel-1C,SLC,DESCENDING,170,4,"657,663,668,673",IW,52,52,2025-11-06T09:01:59Z,2026-03-30T09:03:41Z,S1C_IW_SLC__1SDV_20251130T090317_20251130T090344_005241_00A678_D875
