id,IVV,IVH
1,9266.83203125,1911.97265625
2,11000.2158203125,3101.93798828125
3,12828.728515625,3027.353759765625
4,21540.978515625,849.8458251953125
5,10100.5361328125,333.6219787597656
6,2666.29736328125,1098.24755859375
7,3062.76806640625,1746.1920166015625
8,4671.95068359375,1728.8677978515625
9,1097.391357421875,4238.23046875
10,1466.1614990234375,8857.7314453125
11,4473.9423828125,5460.23828125
12,3348.435546875,1245.5546875
13,4213.64990234375,1358.866943359375
14,19083.609375,2375.498046875
15,20055.421875,1859.8104248046875
16,19458.283203125,617.61376953125
17,10491.7568359375,1143.5841064453125
18,6914.8623046875,450.0268859863281
19,5302.1240234375,2099.755126953125
20,3936.51318359375,1419.975341796875
21,4771.630859375,1311.593505859375
22,4751.31982421875,3514.881103515625
23,9203.9765625,4898.9677734375
24,30836.404296875,752.1175537109375
25,6889.57373046875,1998.78759765625
26,2767.48486328125,1301.07568359375
27,22942.98046875,3767.6484375
28,17697.203125,2673.2822265625
29,10891.2001953125,2768.295166015625
30,3005.953125,1645.0977783203125
31,5055.20654296875,1537.00634765625
32,4513.501953125,4464.17822265625
33,5717.1865234375,1435.0755615234375
34,5825.4140625,3712.28955078125
35,12555.2080078125,2609.0703125
36,19762.546875,4882.8974609375
37,19908.439453125,5341.58349609375
38,6337.896484375,5184.8681640625
39,5225.7060546875,2343.06787109375
40,10812.203125,2607.63623046875
41,9345.595703125,1153.955322265625
42,18096.564453125,977.4505004882812
43,7577.8818359375,339.94293212890625
44,2402.1611328125,1295.6856689453125
45,2102.8955078125,2026.25732421875
46,2419.577880859375,2799.403564453125
47,5378.65234375,5497.447265625
48,15230.583984375,2316.234375
49,23470.005859375,8887.4716796875
50,8377.5205078125,7147.21875
51,6301.23046875,4277.1494140625
52,11354.6142578125,2285.6142578125
53,12549.57421875,2941.07861328125
54,9701.8515625,5779.2783203125
55,10137.814453125,8641.9140625
56,2524.94677734375,2094.112060546875
57,5044.27490234375,962.6121826171875
58,3983.612060546875,420.78497314453125
59,1899.9266357421875,1571.41455078125
60,9610.14453125,2334.883056640625
61,17422.763671875,2954.6923828125
62,26354.953125,5758.14453125
63,3218.1728515625,1764.3572998046875
64,3065.804931640625,3808.3798828125
65,17289.828125,1683.6585693359375
66,11837.8076171875,1718.3824462890625
67,14802.3271484375,8230.53125
68,13325.6865234375,9673.318359375
69,9382.8828125,4494.54541015625
70,11679.43359375,1941.899169921875
71,4120.533203125,382.7555847167969
72,3100.914306640625,1122.666748046875
73,13552.228515625,951.7646484375
74,17472.6171875,629.328857421875
75,19136.2578125,467.41552734375
76,16209.322265625,815.2783203125
77,3301.5771484375,2826.70263671875
78,24606.77734375,1289.0535888671875
79,19616.708984375,2119.918212890625
80,23631.1953125,4011.064453125
81,14394.341796875,3891.210205078125
82,16664.04296875,2417.418701171875
83,12519.857421875,1420.154541015625
84,3006.323486328125,684.7894287109375
85,11401.6767578125,1355.9818115234375
86,21896.1171875,3484.095703125
87,22335.296875,939.511474609375
88,29901.796875,968.7545776367188
89,24611.59375,692.1409912109375
90,4125.55615234375,1445.186767578125
91,10511.38671875,1912.27392578125
92,34849.5078125,1779.0706787109375
93,22918.5,2583.83837890625
94,15409.2763671875,4672.13037109375
95,18764.130859375,1669.8782958984375
96,8840.708984375,660.9815673828125
97,6498.771484375,533.629638671875
98,9439.1240234375,1965.0616455078125
99,7857.77294921875,3727.5341796875
100,9687.09375,2172.6884765625
101,9405.0654296875,3218.025146484375
102,5530.80517578125,2599.845947265625
103,1779.3780517578125,2416.7041015625
104,1166.41259765625,1955.0653076171875
105,24105.83203125,2335.6611328125
106,15866.40234375,2417.343994140625
107,13122.919921875,3377.433837890625
108,11763.2958984375,2919.52978515625
109,6820.85400390625,614.723388671875
110,8035.681640625,1619.9854736328125
111,14270.45703125,1885.6029052734375
112,11785.41015625,1832.7537841796875
113,5674.46435546875,1855.7275390625
114,1110.205810546875,2701.33349609375
115,1364.2843017578125,2990.3369140625
116,423.3147277832031,2819.431884765625
117,9126.4833984375,1681.023193359375
118,11762.158203125,2495.410400390625
119,7912.78369140625,2853.9072265625
120,5456.595703125,2455.301513671875
121,21220.12890625,3514.957763671875
122,25722.9921875,2878.201171875
123,3254.1005859375,2649.400146484375
124,23474.67578125,5382.9443359375
125,11585.0009765625,2584.359619140625
126,3220.52294921875,720.5558471679688
127,1202.7470703125,1327.330810546875
128,5837.44384765625,2800.470703125
129,16731.537109375,2661.124267578125
130,24801.6796875,2406.692138671875
131,4447.69580078125,1311.9207763671875
132,3719.5009765625,3311.197509765625
133,8243.6748046875,1739.3533935546875
134,11121.984375,4904.46337890625
135,16459.375,4417.85205078125
136,6489.9755859375,2251.16455078125
137,4181.2734375,3059.911376953125
138,1456.7652587890625,3132.82861328125
139,8116.7607421875,3307.8779296875
140,6009.97216796875,1856.2620849609375
141,21388.79296875,3072.720458984375
142,23363.095703125,3325.229736328125
143,9156.1416015625,1778.3115234375
