id,IVV,IVH
1,5791.03173828125,1844.0001220703125
2,2715.28564453125,919.4674682617188
3,3471.51513671875,664.1431884765625
4,4253.94091796875,721.792236328125
5,2771.09521484375,2333.850830078125
6,4641.86865234375,1721.58349609375
7,5554.6953125,788.8399047851562
8,4352.369140625,3473.67431640625
9,5004.943359375,3127.49951171875
10,7557.7568359375,257.66876220703125
11,7492.3154296875,1046.813232421875
12,4340.115234375,950.5882568359375
13,1266.7470703125,196.87342834472656
14,3056.5517578125,2267.8916015625
15,5787.7998046875,3691.19384765625
16,11582.623046875,1161.150390625
17,16328.443359375,873.948486328125
18,15520.353515625,1065.432861328125
19,6977.71337890625,896.3248901367188
20,2620.080810546875,1017.05712890625
21,3033.259765625,723.36083984375
22,4123.70947265625,470.0456848144531
23,1824.4146728515625,1425.226806640625
24,1902.1317138671875,1249.9134521484375
25,1641.248779296875,1235.648681640625
26,4534.55078125,848.8912353515625
27,5820.318359375,339.9136047363281
28,3987.64111328125,975.1968383789062
29,10746.5654296875,1134.850341796875
30,12672.46484375,626.288818359375
31,7837.4716796875,1373.319580078125
32,4376.2109375,1053.03173828125
33,1354.0078125,344.20538330078125
34,4259.38818359375,1588.2568359375
35,4940.72412109375,1890.06201171875
36,5813.8701171875,429.0719299316406
37,13281.5322265625,1236.6455078125
38,17246.607421875,1809.6419677734375
39,7748.85791015625,642.1301879882812
40,3008.042236328125,333.46966552734375
41,3258.506591796875,200.1389617919922
42,3465.293701171875,1076.5916748046875
43,661.1508178710938,2848.75244140625
44,1497.3919677734375,1511.77392578125
45,3177.059814453125,629.2473754882812
46,5375.75830078125,1338.9901123046875
47,7083.53955078125,1040.495849609375
48,8619.1328125,672.611328125
49,21092.890625,533.896728515625
50,18562.29296875,1033.2174072265625
51,7003.24853515625,1907.080810546875
52,2981.400634765625,1517.764892578125
53,2202.584228515625,1271.93310546875
54,6982.849609375,1886.737548828125
55,4893.744140625,1545.69287109375
56,1570.7685546875,750.7753295898438
57,8622.9228515625,1923.7857666015625
58,10869.4892578125,2327.906005859375
59,3943.75732421875,1425.1097412109375
60,2666.5927734375,696.4921875
61,4373.81103515625,189.4232940673828
62,4945.31494140625,1652.35595703125
63,2476.49267578125,3737.17578125
64,1756.4178466796875,1524.708251953125
65,2674.634765625,372.1762390136719
66,3788.86767578125,644.729248046875
67,5559.880859375,957.0020141601562
68,13741.271484375,748.9851684570312
69,33102.65625,295.3133544921875
70,20896.697265625,1191.1014404296875
71,2812.577392578125,2126.64111328125
72,2959.833984375,1221.5419921875
73,3578.4541015625,1375.5947265625
74,8072.5947265625,2189.753662109375
75,6680.17919921875,2365.970458984375
76,4144.1953125,2086.056640625
77,6014.71240234375,2301.65625
78,7430.3994140625,2284.288818359375
79,4850.228515625,1867.72021484375
80,3188.03662109375,1147.5821533203125
81,10561.2841796875,244.0755157470703
82,10476.00390625,1645.487060546875
83,9255.154296875,2452.381591796875
84,2930.426513671875,653.7850952148438
85,2311.51708984375,603.9244995117188
86,2768.726318359375,786.0904541015625
87,2618.767333984375,947.0531005859375
88,14565.875,847.6466674804688
89,36694.20703125,161.91336059570312
90,16414.626953125,2195.539306640625
91,3198.5126953125,2739.92236328125
92,6158.693359375,1067.48486328125
93,3920.88330078125,1105.666259765625
94,2496.695068359375,2122.65771484375
95,4189.294921875,3530.426513671875
96,6819.177734375,3529.629638671875
97,9152.6494140625,2931.76611328125
98,10837.3544921875,2097.699951171875
99,9518.078125,1744.704345703125
100,4895.71923828125,971.091552734375
101,28003.736328125,929.223876953125
102,19605.05859375,1882.9967041015625
103,13252.498046875,1686.4820556640625
104,5359.08056640625,149.41952514648438
105,3334.823486328125,1219.3812255859375
106,3286.921630859375,1835.4896240234375
107,3451.017578125,978.4762573242188
108,14418.48828125,680.3758544921875
109,27184.421875,791.7838134765625
110,11691.615234375,3470.923583984375
111,6102.8955078125,3600.32958984375
112,13213.673828125,1537.3292236328125
113,9220.6611328125,1232.6015625
114,5876.72119140625,2110.932373046875
115,4713.04248046875,4282.5556640625
116,9823.1376953125,4061.5419921875
117,17818.541015625,3363.308837890625
118,22927.130859375,1457.215576171875
119,16568.33984375,1116.9346923828125
120,4518.87548828125,1524.8377685546875
121,19478.89453125,1375.7137451171875
122,14098.091796875,1688.0015869140625
123,13160.052734375,1225.986328125
124,10607.12890625,351.50091552734375
125,5949.14404296875,1166.586181640625
126,5245.751953125,1264.3258056640625
127,6286.65771484375,629.7620849609375
128,15280.2939453125,587.98193359375
129,18041.0078125,1588.90966796875
130,10095.1640625,4717.2607421875
131,5849.0078125,4707.63134765625
132,6695.8603515625,3334.947021484375
133,8620.5517578125,1624.08056640625
134,7792.12744140625,2062.814697265625
135,5566.259765625,4322.4658203125
136,8853.1923828125,2869.87841796875
137,11951.5595703125,1745.3604736328125
138,13720.658203125,1043.123779296875
139,10627.130859375,1087.0814208984375
140,2936.149169921875,1818.861328125
141,9024.193359375,1319.10205078125
142,2095.130615234375,1081.0101318359375
143,6176.58447265625,1197.67529296875
144,7464.2421875,1030.9576416015625
145,3801.008544921875,1200.50244140625
146,9634.556640625,1395.1929931640625
147,13258.734375,964.6663208007812
148,18635.51953125,509.12713623046875
149,15039.3857421875,1527.396484375
150,3792.072998046875,3709.898681640625
151,2833.7109375,3942.229248046875
152,3054.27587890625,3348.02392578125
153,6736.90966796875,1524.5753173828125
154,7807.40966796875,1462.6854248046875
155,6669.39501953125,2217.376953125
156,5645.43994140625,1911.91796875
157,7867.412109375,1504.3768310546875
158,7745.3935546875,1316.684326171875
159,2636.75,923.8728637695312
160,3722.135986328125,771.8654174804688
161,6828.39111328125,824.9140625
162,8848.33203125,485.5068664550781
163,5082.36083984375,924.3158569335938
164,4362.8935546875,993.1843872070312
165,2493.46142578125,958.4059448242188
166,16759.697265625,2243.265869140625
167,19554.578125,2219.220458984375
168,9043.134765625,826.2963256835938
169,8679.6015625,985.3245849609375
170,4768.01904296875,1896.400390625
171,2743.405517578125,2462.50244140625
172,2008.9398193359375,1930.8001708984375
173,4369.9404296875,523.03076171875
174,6138.818359375,1173.7218017578125
175,5620.67626953125,1802.66455078125
176,2443.919921875,2182.08837890625
177,8240.1015625,1958.1259765625
178,14226.8447265625,1738.7857666015625
179,4577.3310546875,768.510498046875
180,6973.60546875,669.5101928710938
181,5859.04736328125,1057.25439453125
182,6854.35791015625,369.2427978515625
183,2238.46240234375,916.6077270507812
184,3016.188232421875,641.8323974609375
185,3823.661376953125,611.6676025390625
186,6661.14501953125,1539.27734375
187,8947.111328125,1368.239013671875
188,3795.99658203125,428.0337219238281
189,6732.82568359375,303.0908203125
190,9810.1181640625,267.136474609375
191,8750.044921875,942.4696044921875
192,4893.642578125,1020.401611328125
193,3088.55810546875,844.4103393554688
194,4152.75634765625,1655.048828125
195,3695.6494140625,2349.225830078125
196,1148.031005859375,3579.614990234375
197,7141.72265625,2641.03564453125
198,9452.275390625,1691.4918212890625
199,3202.867431640625,437.43157958984375
200,9723.6953125,969.3257446289062
201,5826.3798828125,688.6051025390625
202,2989.112548828125,504.7723693847656
203,617.0765380859375,1274.6585693359375
204,4673.54443359375,499.91259765625
205,6209.5087890625,322.35638427734375
206,5003.560546875,829.0128784179688
207,5222.2802734375,655.8711547851562
208,6078.1318359375,242.59837341308594
209,4642.443359375,492.44970703125
210,6815.7255859375,644.8296508789062
211,8925.9404296875,846.1961669921875
212,7094.2099609375,837.4446411132812
213,3812.0927734375,1409.228515625
214,1429.2589111328125,2843.39892578125
215,890.437744140625,2786.699951171875
216,1272.3470458984375,2760.95361328125
217,5903.486328125,2363.390625
218,6625.0400390625,1602.118408203125
219,3057.128173828125,355.9998474121094
220,10905.2880859375,1433.2669677734375
221,3954.115478515625,200.02024841308594
222,1570.0865478515625,485.3872985839844
223,1078.0809326171875,853.6883544921875
224,3352.125,438.604248046875
225,5658.189453125,474.2031555175781
226,7678.837890625,506.9381103515625
227,7447.9462890625,693.1357421875
228,7077.0322265625,889.9417724609375
229,6897.9814453125,1053.3831787109375
230,6785.1923828125,1515.9796142578125
231,8150.52880859375,1398.89599609375
232,10218.4501953125,912.3851318359375
233,8471.6640625,1574.8511962890625
234,4968.2705078125,2568.480224609375
235,5878.4794921875,2259.822265625
236,5776.5,1981.7071533203125
237,6732.5576171875,1755.5404052734375
238,6589.5517578125,1810.7325439453125
239,6261.6884765625,1292.2647705078125
240,7356.22802734375,881.2289428710938
241,1440.0078125,832.0907592773438
242,1611.272705078125,848.3115234375
243,1447.400146484375,824.1935424804688
244,1064.483642578125,622.71728515625
