id,IVV,IVH
1,2876.618408203125,515.4786987304688
2,3047.183349609375,806.51318359375
3,7314.0517578125,5532.46533203125
4,12429.6279296875,2078.680419921875
5,16776.111328125,1204.019775390625
6,9883.69921875,794.9063720703125
7,2977.085205078125,539.2249145507812
8,12416.3310546875,2622.77490234375
9,7683.078125,2825.343505859375
10,4687.4443359375,3062.5556640625
11,6665.08056640625,2971.25830078125
12,7168.263671875,715.795654296875
13,16488.580078125,4685.92724609375
14,1422.3465576171875,971.1514892578125
15,263.3833312988281,1068.6278076171875
16,5436.9580078125,4013.815673828125
17,16144.4833984375,4951.21337890625
18,2404.79345703125,2019.2806396484375
19,5393.3115234375,2287.1279296875
20,5974.64404296875,1152.9027099609375
21,14436.5400390625,3451.591064453125
22,15032.4169921875,2608.50048828125
23,4561.57080078125,2207.552978515625
24,3215.2578125,1337.374755859375
25,10718.982421875,996.1127319335938
26,17960.9296875,2483.07568359375
27,1849.6795654296875,1529.1356201171875
28,1337.299560546875,1800.280517578125
29,14511.16015625,2821.0166015625
30,14918.0732421875,2832.4306640625
31,4962.59326171875,5814.5576171875
32,7091.65673828125,6258.0185546875
33,14207.4052734375,2036.5283203125
34,8814.595703125,825.5958251953125
35,20861.37890625,1410.77490234375
36,7745.5205078125,679.7202758789062
37,2188.569091796875,1244.773193359375
38,6623.3388671875,791.5497436523438
39,13621.6494140625,629.015625
40,6573.42236328125,1535.5699462890625
41,9175.5419921875,3634.6328125
42,5299.734375,1517.4774169921875
43,11068.818359375,4380.806640625
44,2599.0869140625,7137.0107421875
45,19124.5859375,4091.029052734375
46,7476.7060546875,1255.66796875
47,5526.2412109375,1279.0447998046875
48,11988.4033203125,1618.27978515625
49,4136.4951171875,1155.951904296875
50,3242.400146484375,2431.3369140625
51,4781.18115234375,1833.108642578125
52,4970.71630859375,628.945556640625
53,9878.2626953125,1235.459228515625
54,12161.8349609375,1480.1004638671875
55,9909.56640625,2743.7607421875
56,7641.07861328125,4168.2158203125
57,9722.0859375,5815.43798828125
58,35659.8125,5951.94921875
59,9383.6513671875,1844.995361328125
60,14115.0341796875,2243.066162109375
61,12812.791015625,2322.204345703125
62,2902.959716796875,1586.214111328125
63,1537.1248779296875,2163.43212890625
64,14198.490234375,2401.402099609375
65,4739.47802734375,1059.864990234375
66,6927.08642578125,2276.2353515625
67,4281.359375,492.2704772949219
68,10774.46875,4759.27197265625
69,6352.43603515625,4717.392578125
70,10154.5576171875,8292.1298828125
71,7938.302734375,6393.005859375
72,4466.57080078125,788.8055419921875
73,13814.8642578125,2300.6572265625
74,11292.81640625,3051.99755859375
75,4541.263671875,2279.22021484375
76,1650.3446044921875,191.5941162109375
77,6309.5478515625,560.154541015625
78,4288.927734375,1350.2235107421875
79,4168.76171875,4429.44775390625
80,2405.989013671875,1707.4493408203125
81,7192.9931640625,2625.292724609375
82,13955.720703125,1656.0013427734375
83,5346.75634765625,2940.754150390625
84,3199.116455078125,2070.756591796875
85,1899.676513671875,532.28515625
86,2059.8876953125,1134.0936279296875
87,5269.390625,1798.49658203125
88,10218.7158203125,1298.2783203125
89,9606.4326171875,1056.4365234375
90,7807.69384765625,2348.18359375
91,4922.79833984375,3255.651611328125
92,3984.31884765625,2064.5634765625
93,5829.37890625,1476.6395263671875
94,8501.263671875,1132.907470703125
95,17887.5234375,2285.3955078125
96,22764.28515625,1666.2110595703125
97,4247.10546875,1157.324462890625
98,15081.6484375,1142.7967529296875
99,15746.251953125,1364.1544189453125
100,8352.310546875,1483.0250244140625
101,13908.794921875,1883.9449462890625
102,9487.1416015625,637.2171630859375
103,5330.33251953125,5292.42578125
104,4644.89306640625,5100.95458984375
105,3914.324462890625,1183.3795166015625
106,11433.7568359375,2145.554443359375
107,10378.685546875,527.7688598632812
108,28055.361328125,1288.568603515625
109,22965.23828125,2121.542236328125
110,7099.65380859375,2361.090087890625
111,36142.8515625,2226.96533203125
112,15607.6630859375,1739.412353515625
113,7286.83447265625,4169.783203125
114,6398.8642578125,4814.869140625
115,5228.60009765625,1788.0289306640625
116,10993.482421875,5262.05419921875
117,4128.88037109375,2705.8154296875
118,4938.357421875,894.4603881835938
119,3858.243408203125,1232.103759765625
120,10088.603515625,244.37234497070312
121,37281.96484375,195.4514923095703
122,11534.1328125,1198.36767578125
123,3747.075439453125,3290.986328125
124,9998.6162109375,4510.1728515625
125,13913.6572265625,3043.27685546875
126,9606.177734375,4353.7666015625
127,18732.41015625,9775.9951171875
128,13158.9931640625,6040.00341796875
129,7625.19189453125,2584.2333984375
130,6333.11083984375,1522.2965087890625
