query_name,feature_index,platform_filter,relative_orbit_filter,dataset,platform,product_id,scene_name,file_name,asset_key,download_url,processing_level,flight_direction,relative_orbit,absolute_orbit,frame_number,start_time,stop_time,size_mb,download_path,status
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260130T085141_20260130T085208_062994_07E770_D5BD-SLC,S1A_IW_SLC__1SDV_20260130T085141_20260130T085208_062994_07E770_D5BD,S1A_IW_SLC__1SDV_20260130T085141_20260130T085208_062994_07E770_D5BD.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260130T085141_20260130T085208_062994_07E770_D5BD.zip,SLC,DESCENDING,97,62994,621,2026-01-30T08:51:41Z,2026-01-30T08:52:08Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260130T085141_20260130T085208_062994_07E770_D5BD.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260130T085115_20260130T085143_062994_07E770_49A0-SLC,S1A_IW_SLC__1SDV_20260130T085115_20260130T085143_062994_07E770_49A0,S1A_IW_SLC__1SDV_20260130T085115_20260130T085143_062994_07E770_49A0.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260130T085115_20260130T085143_062994_07E770_49A0.zip,SLC,DESCENDING,97,62994,616,2026-01-30T08:51:15Z,2026-01-30T08:51:43Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260130T085115_20260130T085143_062994_07E770_49A0.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260130T085050_20260130T085117_062994_07E770_08EA-SLC,S1A_IW_SLC__1SDV_20260130T085050_20260130T085117_062994_07E770_08EA,S1A_IW_SLC__1SDV_20260130T085050_20260130T085117_062994_07E770_08EA.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260130T085050_20260130T085117_062994_07E770_08EA.zip,SLC,DESCENDING,97,62994,611,2026-01-30T08:50:50Z,2026-01-30T08:51:17Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260130T085050_20260130T085117_062994_07E770_08EA.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260130T085025_20260130T085052_062994_07E770_BA14-SLC,S1A_IW_SLC__1SDV_20260130T085025_20260130T085052_062994_07E770_BA14,S1A_IW_SLC__1SDV_20260130T085025_20260130T085052_062994_07E770_BA14.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260130T085025_20260130T085052_062994_07E770_BA14.zip,SLC,DESCENDING,97,62994,606,2026-01-30T08:50:25Z,2026-01-30T08:50:52Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260130T085025_20260130T085052_062994_07E770_BA14.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260127T082838_20260127T082853_062950_07E5CA_9F65-SLC,S1A_IW_SLC__1SDV_20260127T082838_20260127T082853_062950_07E5CA_9F65,S1A_IW_SLC__1SDV_20260127T082838_20260127T082853_062950_07E5CA_9F65.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260127T082838_20260127T082853_062950_07E5CA_9F65.zip,SLC,DESCENDING,53,62950,641,2026-01-27T08:28:38Z,2026-01-27T08:28:53Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260127T082838_20260127T082853_062950_07E5CA_9F65.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260127T082814_20260127T082841_062950_07E5CA_580F-SLC,S1A_IW_SLC__1SDV_20260127T082814_20260127T082841_062950_07E5CA_580F,S1A_IW_SLC__1SDV_20260127T082814_20260127T082841_062950_07E5CA_580F.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260127T082814_20260127T082841_062950_07E5CA_580F.zip,SLC,DESCENDING,53,62950,636,2026-01-27T08:28:14Z,2026-01-27T08:28:41Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260127T082814_20260127T082841_062950_07E5CA_580F.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260127T082748_20260127T082816_062950_07E5CA_4387-SLC,S1A_IW_SLC__1SDV_20260127T082748_20260127T082816_062950_07E5CA_4387,S1A_IW_SLC__1SDV_20260127T082748_20260127T082816_062950_07E5CA_4387.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260127T082748_20260127T082816_062950_07E5CA_4387.zip,SLC,DESCENDING,53,62950,631,2026-01-27T08:27:48Z,2026-01-27T08:28:16Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260127T082748_20260127T082816_062950_07E5CA_4387.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260127T082633_20260127T082700_062950_07E5CA_D4C5-SLC,S1A_IW_SLC__1SDV_20260127T082633_20260127T082700_062950_07E5CA_D4C5,S1A_IW_SLC__1SDV_20260127T082633_20260127T082700_062950_07E5CA_D4C5.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260127T082633_20260127T082700_062950_07E5CA_D4C5.zip,SLC,DESCENDING,53,62950,616,2026-01-27T08:26:33Z,2026-01-27T08:27:00Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260127T082633_20260127T082700_062950_07E5CA_D4C5.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260127T082609_20260127T082636_062950_07E5CA_6023-SLC,S1A_IW_SLC__1SDV_20260127T082609_20260127T082636_062950_07E5CA_6023,S1A_IW_SLC__1SDV_20260127T082609_20260127T082636_062950_07E5CA_6023.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260127T082609_20260127T082636_062950_07E5CA_6023.zip,SLC,DESCENDING,53,62950,611,2026-01-27T08:26:09Z,2026-01-27T08:26:36Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260127T082609_20260127T082636_062950_07E5CA_6023.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260127T082543_20260127T082611_062950_07E5CA_E784-SLC,S1A_IW_SLC__1SDV_20260127T082543_20260127T082611_062950_07E5CA_E784,S1A_IW_SLC__1SDV_20260127T082543_20260127T082611_062950_07E5CA_E784.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260127T082543_20260127T082611_062950_07E5CA_E784.zip,SLC,DESCENDING,53,62950,606,2026-01-27T08:25:43Z,2026-01-27T08:26:11Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260127T082543_20260127T082611_062950_07E5CA_E784.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260127T082515_20260127T082545_062950_07E5CA_87D2-SLC,S1A_IW_SLC__1SDV_20260127T082515_20260127T082545_062950_07E5CA_87D2,S1A_IW_SLC__1SDV_20260127T082515_20260127T082545_062950_07E5CA_87D2.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260127T082515_20260127T082545_062950_07E5CA_87D2.zip,SLC,DESCENDING,53,62950,600,2026-01-27T08:25:15Z,2026-01-27T08:25:45Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260127T082515_20260127T082545_062950_07E5CA_87D2.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260126T092637_20260126T092710_062936_07E539_2E24-SLC,S1A_IW_SLC__1SDV_20260126T092637_20260126T092710_062936_07E539_2E24,S1A_IW_SLC__1SDV_20260126T092637_20260126T092710_062936_07E539_2E24.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260126T092637_20260126T092710_062936_07E539_2E24.zip,SLC,DESCENDING,39,62936,646,2026-01-26T09:26:37Z,2026-01-26T09:27:10Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260126T092637_20260126T092710_062936_07E539_2E24.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260126T092612_20260126T092639_062936_07E539_D4A2-SLC,S1A_IW_SLC__1SDV_20260126T092612_20260126T092639_062936_07E539_D4A2,S1A_IW_SLC__1SDV_20260126T092612_20260126T092639_062936_07E539_D4A2.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260126T092612_20260126T092639_062936_07E539_D4A2.zip,SLC,DESCENDING,39,62936,641,2026-01-26T09:26:12Z,2026-01-26T09:26:39Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260126T092612_20260126T092639_062936_07E539_D4A2.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260126T092548_20260126T092615_062936_07E539_492A-SLC,S1A_IW_SLC__1SDV_20260126T092548_20260126T092615_062936_07E539_492A,S1A_IW_SLC__1SDV_20260126T092548_20260126T092615_062936_07E539_492A.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260126T092548_20260126T092615_062936_07E539_492A.zip,SLC,DESCENDING,39,62936,636,2026-01-26T09:25:48Z,2026-01-26T09:26:15Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260126T092548_20260126T092615_062936_07E539_492A.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260126T092522_20260126T092550_062936_07E539_523D-SLC,S1A_IW_SLC__1SDV_20260126T092522_20260126T092550_062936_07E539_523D,S1A_IW_SLC__1SDV_20260126T092522_20260126T092550_062936_07E539_523D.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260126T092522_20260126T092550_062936_07E539_523D.zip,SLC,DESCENDING,39,62936,631,2026-01-26T09:25:22Z,2026-01-26T09:25:50Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260126T092522_20260126T092550_062936_07E539_523D.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260125T084629_20260125T084653_062921_07E4A7_4E90-SLC,S1A_IW_SLC__1SDV_20260125T084629_20260125T084653_062921_07E4A7_4E90,S1A_IW_SLC__1SDV_20260125T084629_20260125T084653_062921_07E4A7_4E90.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260125T084629_20260125T084653_062921_07E4A7_4E90.zip,SLC,DESCENDING,24,62921,658,2026-01-25T08:46:29Z,2026-01-25T08:46:53Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260125T084629_20260125T084653_062921_07E4A7_4E90.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260125T084604_20260125T084631_062921_07E4A7_AD16-SLC,S1A_IW_SLC__1SDV_20260125T084604_20260125T084631_062921_07E4A7_AD16,S1A_IW_SLC__1SDV_20260125T084604_20260125T084631_062921_07E4A7_AD16.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260125T084604_20260125T084631_062921_07E4A7_AD16.zip,SLC,DESCENDING,24,62921,653,2026-01-25T08:46:04Z,2026-01-25T08:46:31Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260125T084604_20260125T084631_062921_07E4A7_AD16.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260125T084538_20260125T084606_062921_07E4A7_BEB8-SLC,S1A_IW_SLC__1SDV_20260125T084538_20260125T084606_062921_07E4A7_BEB8,S1A_IW_SLC__1SDV_20260125T084538_20260125T084606_062921_07E4A7_BEB8.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260125T084538_20260125T084606_062921_07E4A7_BEB8.zip,SLC,DESCENDING,24,62921,648,2026-01-25T08:45:38Z,2026-01-25T08:46:06Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260125T084538_20260125T084606_062921_07E4A7_BEB8.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260125T084514_20260125T084541_062921_07E4A7_F4AF-SLC,S1A_IW_SLC__1SDV_20260125T084514_20260125T084541_062921_07E4A7_F4AF,S1A_IW_SLC__1SDV_20260125T084514_20260125T084541_062921_07E4A7_F4AF.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260125T084514_20260125T084541_062921_07E4A7_F4AF.zip,SLC,DESCENDING,24,62921,643,2026-01-25T08:45:14Z,2026-01-25T08:45:41Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260125T084514_20260125T084541_062921_07E4A7_F4AF.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260125T084449_20260125T084516_062921_07E4A7_C029-SLC,S1A_IW_SLC__1SDV_20260125T084449_20260125T084516_062921_07E4A7_C029,S1A_IW_SLC__1SDV_20260125T084449_20260125T084516_062921_07E4A7_C029.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260125T084449_20260125T084516_062921_07E4A7_C029.zip,SLC,DESCENDING,24,62921,638,2026-01-25T08:44:49Z,2026-01-25T08:45:16Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260125T084449_20260125T084516_062921_07E4A7_C029.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260125T084424_20260125T084451_062921_07E4A7_54B7-SLC,S1A_IW_SLC__1SDV_20260125T084424_20260125T084451_062921_07E4A7_54B7,S1A_IW_SLC__1SDV_20260125T084424_20260125T084451_062921_07E4A7_54B7.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260125T084424_20260125T084451_062921_07E4A7_54B7.zip,SLC,DESCENDING,24,62921,633,2026-01-25T08:44:24Z,2026-01-25T08:44:51Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260125T084424_20260125T084451_062921_07E4A7_54B7.zip,missing_auth
