bootstrap_id,T_bootstrap
1,3596930.4603949711
2,3793778.2668977929
3,3713830.0078461645
4,3711823.5457319999
5,3806943.4026599932
6,3591932.0309844855
7,3520194.4765735818
8,3721038.7138273236
9,4027742.0282914294
10,3672526.615792085
11,3471197.3113504164
12,3394126.4797556829
13,3558885.92254757
14,3606133.7786646751
15,3954767.6610380779
16,3324495.1359299282
17,3765318.1910218783
18,3380361.7576882616
19,3315499.4211484562
20,3655681.9643323408
21,3839547.8301095422
22,3839595.2514898293
23,3420928.3872736311
24,3991216.1486471258
25,3750297.8776394129
26,3675658.1466905335
27,3736416.5510248966
28,3534183.6802166714
29,3426375.4436764638
30,3412298.1621762309
31,3648069.6216913769
32,3864601.2600261169
33,3501786.0199235226
34,3482044.2367147231
35,3664865.0804737192
36,3451647.0763545418
37,3655428.3373363544
38,3754672.575008431
39,3701011.4927266524
40,3810797.0780777652
41,3850842.191273381
42,3761113.0579629755
43,3579311.0213505919
44,4022853.8408887633
45,3590925.0475554066
46,3553663.0390243703
47,3783863.823692556
48,3699683.8248655321
49,3801060.4978337865
50,3499011.4657534463
51,3929908.0114951036
52,3737422.1714946157
53,3913665.2315051025
54,3603915.9582132692
55,4089791.6412934614
56,3629175.3749089926
57,4080298.2931789597
58,3940718.7494483124
59,3542894.7116927817
60,3847056.2727842578
61,3654607.0794347632
62,3407309.2239150275
63,3485076.8947943435
64,3611138.3192271981
65,3491005.2307310468
66,3432767.0786498385
67,3513157.5027398993
68,3708708.5811216254
69,3682961.3871431733
70,3972698.6891514077
71,3706278.45240336
72,3582811.8018986951
73,3593361.7766664531
74,4087846.4662978738
75,3927288.1419700105
76,3921892.7706853603
77,3452587.7141791931
78,3519780.4856332755
79,3551630.9679775583
80,3800131.1747029508
81,3615484.5253619854
82,3668170.0519311093
83,3368073.918141163
84,3534582.462136012
85,3658253.2770074573
86,3583801.3306899201
87,3264228.5919412272
88,3448239.1023525158
89,3459984.5982727078
90,3663739.5419521588
91,3793544.6483815075
92,3861308.5835009194
93,3804251.9536128547
94,3592596.3901255378
95,3464900.5898440639
96,3598173.7516107014
97,3805552.1054335721
98,3351458.0216508158
99,3736273.9923840561
100,3884417.6124336333
101,3681942.121006561
102,3465780.8407002841
103,3659670.753681255
104,3767057.7896189438
105,3730503.5455404939
106,3619498.8116222271
107,3430384.5656843185
108,3894263.8015455846
109,3523233.1140523767
110,3457924.5621919469
111,3710183.6463672877
112,3828779.2687241808
113,3294040.0493323021
114,3622268.6943513053
115,3670904.9438055637
116,3621925.5687033157
117,3691014.54635139
118,3434432.3246037066
119,3670512.0050841449
120,3692622.0246464252
121,3586801.8761405391
122,3740754.6292591281
123,3640846.2294037845
124,3700939.1314707487
125,3744048.9638212565
126,3552233.3069329858
127,3606202.5188395367
128,3411902.667146306
129,3649161.5797175854
130,3660328.4244841472
131,3519840.5224496513
132,3649410.1308805807
133,3573281.9039010708
134,3786843.5026320568
135,4055123.074357226
136,3385145.0058617881
137,3764703.3517436069
138,3689765.4286365309
139,3511040.273584866
140,3304593.3278939803
141,3641111.0431316379
142,3716225.5956676314
143,3881355.6061531994
144,3679167.3660775004
145,3504867.4237426282
146,4019327.4584344779
147,3633168.095534652
148,3475436.1821074374
149,3656074.9765975927
150,3479003.2040249021
151,3643146.8833512431
152,3706628.5887267534
153,3820288.3263491886
154,3351236.4313386134
155,3799317.172923903
156,3948929.111623731
157,3742294.3308460996
158,3830324.2802554583
159,3802187.6951987608
160,3555522.4506643163
161,3611058.5415506284
162,3671271.9692273978
163,3616495.8709542947
164,3476984.5619835285
165,3646918.701915253
166,3300360.4276736323
167,3582317.0696936869
168,3918239.883800481
169,3814150.6704949797
170,3725974.2499450888
171,3490246.217597838
172,3502678.8882909385
173,3853488.5987086971
174,3626089.6465645232
175,3634418.6606161902
176,3667734.830939766
177,3812335.3988724267
178,3656395.8239394403
179,3879929.2750529391
180,3689075.9420956308
181,3360505.4259038283
182,3864042.3865276477
183,3781500.397517086
184,3654768.394647853
185,3641955.6228007213
186,3787552.6354524591
187,3801289.1685219505
188,3430096.7149113202
189,3666333.6291014263
190,3710655.2806777256
191,3573799.5931464494
192,3791911.0833558347
193,3685868.985033243
194,3492544.9914382831
195,3549790.87570734
196,3640901.8012409746
197,3766108.6966981543
198,3605715.9372257786
199,3778884.394355556
200,3555983.1288618054
201,3613631.1641418519
202,3710074.3255141969
203,3700146.6457086098
204,3589694.7678135703
